NPs,Coating,Core_size,Shape,Dose,Type(Gram( +/-),Class,Family,Species,Duration,ZOI
ZnO,coated,15.0,spherical,10000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,7.0
ZnO,coated,15.0,spherical,10000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,7.0
ZnO,coated,15.0,spherical,10000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,9.0
ZnO,coated,15.0,spherical,20000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,12.0
ZnO,coated,15.0,spherical,20000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,10.0
ZnO,coated,15.0,spherical,20000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.0
ZnO,coated,15.0,spherical,20000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,10.0
ZnO,coated,15.0,spherical,30000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,15.0
ZnO,coated,15.0,spherical,30000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,13.0
ZnO,coated,15.0,spherical,30000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.0
ZnO,coated,15.0,spherical,30000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,11.0
ZnO,coated,15.0,spherical,40000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,17.0
ZnO,coated,15.0,spherical,40000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,16.0
ZnO,coated,15.0,spherical,40000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,12.0
ZnO,coated,15.0,spherical,40000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,13.0
ZnO,uncoated,44.0,petal,20.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,22.0
ZnO,uncoated,44.0,petal,20.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,22.5
ZnO,uncoated,44.0,petal,40.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,23.0
ZnO,uncoated,44.0,petal,40.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,25.0
ZnO,uncoated,44.0,petal,60.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,25.0
ZnO,uncoated,44.0,petal,60.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,26.0
ZnO,uncoated,44.0,petal,80.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,26.0
ZnO,uncoated,44.0,petal,80.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,26.7
ZnO,uncoated,18.0,irregular,200.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,6.5
ZnO,uncoated,18.0,irregular,200.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,15.0
ZnO,uncoated,18.0,irregular,200.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,18.0
ZnO,uncoated,18.0,irregular,400.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,7.0
ZnO,uncoated,18.0,irregular,400.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,17.0
ZnO,uncoated,18.0,irregular,400.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,19.0
